Nombre;Direccion;Distrito;Telefono
CLINICA ROBLES;Jr. Manuel Villavicencio N° 512 Chimbote;Chimbote;(043) 32-2453
CLINICA SAN ANTONIO;Av. Victor Larco N° 630, Urb. San Andres, Trujillo;Trujillo;(044) 20-2597
CLINICA SAN GABRIEL ARCANGEL;Jr. Dos de Mayo 1779;Huanuco;62519455
CLINICA SAN JUAN;Cl. Ricardo Palma N° 838, Iquitos;Iquitos;(065)222477
CLINICA SAN LORENZO;AV. SAN MARTIN DE PORRES N° 546;Cajamarca;76340201
CLINICA SAN MARTIN-SERVICIOS MEDICOS LIONEL FLO;Jr. San Martin N°274, Tarapoto;Tarapoto;(042) 52-7860
CLINICA SAN PABLO;Jr. Huaylas N° 172 Independencia Huaraz;Huaraz;(043) 42-88-11
CLINICA SAN PEDRO;Jr. Manuel Villavicencio N° 479 - 481 Chimbote;Chimbote;(043) 32-1930
CLINICA DE LOS VASQUEZ;Calle Lima 703 Chincha Alta;Chincha;997073136
SANNA - Clínica Sanchez Ferrer;Cl. Los Laureles N° 436, Urb. California Victor Larco Herrera;Trujillo;(044) 749100
GRUPO CARITA FELIZ;Jr. Huancavelica N° 925-1039, Urb. 04 De Enero, Piura;Piura;(073) 323017
CLINICA SANTO DOMINGO;Av. Francisco Solano N° 274, Urb. San Carlos Huancayo;Huancayo;(064) 23-4012
CLINICA GAXAY;AVENIDA AMERICA MZ B LT 03 CHINCHA ALTA;Chincha;056-267606
CLINICA LAS AMERICAS - ECOLABS;AV. LAS AMERICAS N° 901, URB. LOS BANCARIOS D-32 PISCO;Pisco;056-532679
CLINICA LAS CONDES;Av. Conde De Nieva N° 360, Urb. Luren Ica;Ica;(056) 21-4149
SANNA - Clínica Belén;Av.  San Cristobal N° 267 Urb. EL Chipe - Piura;Piura;(073) 28-5960
CLINICA J & C INMACULADA CONCEPCION;Av. Jose de Lama N° 1011 Urb. Santa Rosa, Sullana;Sullana;(073) 50-4898
CLINICA OLGUIN E.I.R.L;CALLE SUCRE Nº 1300 SULLANA;Sullana;073-416213
"CORPORACION ROCA PERU (MEDICENTRO TOURIST
HEALTH)";Jr. Moquegua Nº 191 Puno;Puno;(051)36-5909
COSET MEDICA;JR. HUAYTAPALLANA NRO. 125 (OVALO DE JULIO SUMAR) JUNIN - HUANCAYO - E;Huancayo;064-248525
CLINICA SANTA ROSA DE SULLANA;AVENIDA PANAMERICANA Nº 332 URBANIZACIÓN SANTA ROSA;Sullana;073-505870
CLINICA VIRGEN DEL PILAR;Cl. Bolivar N° 285 Sullana;Sullana;(073) 50-2278
EPSS EL NAZARENO;Jr. Quinua N° 428 Ayacucho;Ayacucho;(066) 31-4517
ESMEDIC-ESPECIALISTAS MEDICOS;Jr. Progreso N° 465 Calleria;Pucallpa;(061) 575141
HOSPITAL PRIVADO DEL PERU;Km. 5 Carretera Piura -Fundo Puyuntala Catacaos;CATACAOS;(073) 285570
CENTRO MEDICO BELEN-EL ALTO;Cl. Plaza de Armas S/N Talara;Talara;(073) 256466
CLINICA TORRES;Av. A N° 98, 2do. Piso Pariñas talara;Talara;(073) 38-1967,(073) 38-6307
GRUPO PERUANO SUIZA;AVENIDA PERÚ K-3, URB. QUISPICANCHI;Cusco;084-237168
CLINICA SAN VICENTE;Av. Los Maestros N° 422 Urb. San Jose;Ica;056-227263
HOGAR CLINICA SAN JUAN DE DIOS IQUITOS;Carretera Iquitos Nauta Km. 2.8, San Juan Bautista;Iquitos;(065) 606-689
HOSP. DE APOYO VICTOR RAMOS GUARDIA;Av. Luzuriaga S/N Huaraz;Huaraz;(043) 427508
HOSPITAL DE CLINICAS LAMBAYEQUE (Ex Hospital de C;Cl. Francisco Cabrera N° 611, Chiclayo;Chiclayo;(074) 221-111
HOSPITAL METROPOLITANO;Cl. Manuel Maria Izaga N° 154, Chiclayo;Chiclayo;(074) 272828
CLINICA TRESA;Av. A N° 108 - 110;Talara;(073) 38-2213
HOSPITAL PRIVADO JUAN PABLO II;Av. Grau N° 1461, Chiclayo;Chiclayo;(074) 22-6070,(074) 22-6108
HOSPITAL SANTA ROSA;JR. CAJAMARCA 171TAMBOPATA PUERTO MALDONADO;Puerto Maldonado;082-571046
INVERSIONES MEDICAS GALENO-SAN PEDRO;Av. Echenique 641, Huacho;Huacho;(001) 232-4841
MACSALUD CUSCO;Av. La Cultura N° 1410, Cusco;Cusco;(084) 58-2060
MAGOL-CLINICA GONZALES;Av. Daniel Alcides Carrion N° 099, San Juan Pampa Yanacancha;Pasco;(063) 42-1515
MARIA BELEN;MZ. G LOTE 13 URB. HORACIO ZEVALLOS  CAJAMARCA;Cajamarca;076-341992
MEDES;JR. CASUARINAS 632 URB. EL INGENIO;Cajamarca;076-344640
MEDISALUD GROUP SRL (ex CARDIOMEDIC);JIRÓN LOS FRESNOS 231 / URBANIZACIÓN EL INGENIO;Cajamarca;076-341655
NATCLAR;Av. El Minero s/n, Sector 1, Mz 5, Lt.1, AA.HH Columna Pasco;Pasco;(063) 422-886
DR. JORGE MADRID ORTIZ;Urb. Los Pinos H-15;Talara;(073) 38-1434
CLINICA SEÑOR DE LUREN;Av San Martin N 536 Ica;Ica;(056)211- 989
CLINICA TATAJE;Av. Conde De Nieva N° 355, Urb. Luren  Ica;Ica;(056) 21-8471
POLICLINICO CONDE DE NIEVA;AV. CONDE DE NIEVA Nº 537, URB. LUREN;Ica;056-600729
POLICLINICO PEDIATRICO DEL NORTE;JR. LOS SAUCES N° 343 URB. LOS ROSALES;Cajamarca;076-361020
POLICLINICO SAN ANTONIO;AV. VIA DE EVITAMIENTO NORTE N° 716;Cajamarca;076-342066
POLICLINICO SAN MARCOS - JAEN;HUAMANTANGA N° 1114 JAEN;Jaen;076-433687
POLICLINICO SANTA MARIA MAGDALENA;Jr. Bellido Nº 275 - Huamanga Ayacucho;Ayacucho;(066)32-7498
RO SERVICIOS MEDICOS (CENTRO MEDICO NEILL M. RO;JR AYACUCHO NRO.1260 - CHACHAPOYAS;Amazonas;041-477327
SAN FRANCISCO DE ASIS;Jr. Miguel Grau N° 851, distrito Cajamarca, provincia Cajamarca, departamento C;Cajamarca;076-362050
SAN JOSE;Av. Los Incas N° 1408;Cusco;084 - 243367
SANNA - Centro Clínico Cajamarca;Los Cedros 214 Urb. El ingenio;Cajamarca;076-368473
SANNA - Centro Clínico Talara;Av. Francisco Bolognesi 167 Urb. Barrio Particular, Distrito Pariñas;Talara;943613655
SANTA BEATRIZ SERVICIOS MEDICOS;Av. Grau A N° 100 Conjunto Habitacional, Pariñas;Talara;(073) 382418
SANTA MARIA DE CHIMBOTE;ELIAS AGUIRRE 761 - BOLIVAR BAJO CHIMBOTE;Chimbote;043-325073
SERVICIOS DE SALUD LOS FRESNOS;Jr. Los Nogales N° 179, Urb. El Ingenio Cajamarca;Cajamarca;(076) 256976
SERVICIOS MEDICOS CLINICA SANTA ANITA;Jr. Bolognesi N° 1223 Iquitos;Iquitos;(065) 26-6003
AUNA - SERVIMEDICOS;Cl. Manuel Maria Izaga N° 621 Chiclayo;Chiclayo;(074) 22-1945,(074) 22-1585
TRINIDAD Y ESPECIALIDADES MEDICAS;PSJE. LAS MESETAS #112 tarapoto;Tarapoto;042-341329
MULTISERVICIOS ESTABRIDIS;Jirón Colonos Fundadores N° 368;Satipo;064-545197
POLICLINICO CARRION (CENTRO MEDICO DANIEL ALCID;Cl. Clorinda Matto de Turner 116, Pablo VI;Arequipa;(054) 20-6171
ASOCIACION CIVIL SELVA AMAZONICA;Calle Urbanización Jardín Cuadra 4 Fanning N° 27;Iquitos;(065) 236277
CLINICA SAN PABLO - AREQUIPA;Urbanización Teresa de Jesus Mz K Lote 9 distrito Cerro Colorado;Arequipa;054-410100
CLINICA LA LUZ TACNA;AVENIDA MANUAL A. ODRIA 702;Tacna;052-638720
SERVICIOS MEDICOS INTEGRALES FAMISALUD;CALLE AYACUCHO NÚMERO 270;Pisco;(056) 53-4281
SERVICIOS MEDICOS INTEGRALES FAMISALUD;CALLE 28 DE JULIO N° 397 DISTRITO CHINCHA ALTA;Chincha;(056)504443
CLINICA SANTA EMILIA - MEDGASTRO;CALLE SAN MIGUEL NÚMERO 225 MANZANA D LOTE 18 URBANIZACIÓN SANTA IS;Piura;(073) 524087
CLINICA WISAR SALUD;PASAJE SAN LORENZO N° 288 SAN JUAN BAUTISTA;Iquitos;(065) 227700
CLINICA REGIONAL;Av. Camino a la Huacachina piso 2;Ica;(056) 611993
OXIGEN MEDICAL NETWORK E.I.R.L.;Calle Puputi 148 Cusco;Cusco;084-221213
AUNA - CLINICA AUNA CHICLAYO;Calle Mariscal Nieto N° 480 Urbanización Campodónico;Chiclayo;(074) 749 333
CORPOMEDIC;JIRÓN NICOLÁS DE PIÉROLA 162;Tarapoto;042-525959
CM VITALUZ;JIRÓN JAEN NÚMERO 211;Tumbes;961844386
CLINICA BELLO HORIZONTE;AVENIDA DIAMANTE MANZANA E LOTE D2 URBANIZACIÓN ZONA INDUSTRIAL 2 D;Piura;(073)596034
SERVICIOS MEDICOS VIRGEN DE LAS MERCEDES;IRÓN MIGUEL GRAU NÚMERO 1231;Tarapoto;42520822
POLICLINICO JIREH;AVENIDA SAN ANTONIO MANZANA A LOTE 04,05 y 21;Santa;043-416733
POLICLINICO MISTI;CALLE MISTI NÚMERO 604 PISO 1 INTERIOR 2;Arequipa;54628744
EBENEZER;CALLE GARCILAZO DE LA VEGA NÚMERO 431;Jaen;076-601472
CLÍNICA ESPECIALIZADA MIRANDA;JIRÓN PARRA DEL RIEGO NÚMERO 701 PISO 1 DISTRITO EL TAMBO;Huancayo;064-601854
ASOCIADOS EN SALUD S.A.C. - CHICLAYO SALUD;AVENIDA Juan Tomis Stack NÚMERO S/N;Chiclayo;959 121 844
CLINICA HERNANI - NUEVA SALUD;AVENIDA FATIMA NÚMERO 136 DISTRITO CHINCHA ALTA;Chincha;998938530
ALNE - POLICLINICO SANTA ANA;AVENIDA PACHECO NÚMERO 247;Tarma;956150552
CLINICA SR. DE TORRECHAYOC E.I.R.L.;IRÓN 25 DE JULIO MANZANA B LOTE 15 DISTRITO SANTA ANA;La Convención;984596477
CHENET CLINICA ESPECIALIZADA - INVERSIONES M & M;CALLE REAL NÚMERO 612 DISTRITO EL TAMBO;Huancayo;064-399014
EPSS DEL PILAR;MZA. C LOTE. 15 URB. MARISCAL CACERES;Ayacucho;066-286690
CLINICA RODRIGUEZ Y ESPECIALISTAS - CENTRO NEUR;JIRÓN BRASIL NÚMERO 262;Tarapoto;042-544680
CLINICA ALIVIRI - INSTITUTO DE ESPECIALIDADES MEDI;CALLE LEÓN VELARDE N° 406 YANAHUARA;Arequipa;054-276764
HOGAR CLINICA SAN JUAN DE DIOS CHICLAYO;NRO. 10 CAS. PIMENTEL;Chiclayo;074-452856
HOGAR CLINICA SAN JUAN DE DIOS CUSCO;AVENIDA MANZANARES N°264 URBANIZACION MANUEL PRADO;Cusco;84231340
CENTRO ESPECIALIZADO EMASALUD;CALLE AMAZONAS MANZANA C LOTE 32 DISTRITO PUNCHANA PROVINCIA MAYN;Iquitos;980711343
JOMA CORPORACION MEDICA S.R.L.;JIRÓN ALONSO DE ALVARADO NÚMERO 682 DISTRITO MOYOBAMBA;Moyobamba;947742657
CLINICA VIRGEN DE GUADALUPE - TM CORPORACION G;AV. UCAYALI N°231 TINGO MARIA;Tingo María;062-561372
GOLD STUDIO LAB;CALLE OSWALDO BACA MANZANA J LOTE 8 DISTRITO CUSCO;Cusco;954170720
ASOCIACION ORDEN HOSPITALARIA HOGAR CLINICA SA;CALLE SAN CRISTOBAL 104 URB SANTA ISABEL;Piura;073-310874
CENTRO DE REPOSO SAN JUAN DE DIOS (CREMPT)-PIU;AVENIDA CAYETANO HEREDIA N° 210 DISTRITO CASTILLA;Piura;073-343592
CLINICA MEDICA SAN MARTIN;AV SAN MARTIN N° 598, URB. LA MORALES;Ica;056-237734
SAN CRISTOBAL - CENTRO MEDICO NAPOLEON II;CALLE LIMA NUMERO 300 DISTRITO NAZCA PROVINCIA NAZCA DEPARTAMENTO I;Nazca;972794255
CLINICA ZARATE;AVENIDA REPUBLICA DE URUGUAY NÚMERO 533 PISO 1;Huancayo;954418252
CLINICA NTRA.SRA.DE LAS MERCEDES  - CLINICA VERA;PROLONGACIÓN AV. CENTENARIO Nº 502;Huaraz;951217175
INSTITUTO MEDICO ESPECIALIZADO UROGINEC;JR. SAENZ PEÑA 173;Chimbote;043 - 325457
CLINICA DEL SUR MOQUEGUA;Calle Las Gardenias Mz A Lote 1;Moquegua;053-636666
AUNA - CLINICA CAMINO REAL;Jr. Bolognesi  Nº 565, Trujillo;Trujillo;980710994
AUNA - CLINICA VALLESUR;Av. La salle Nº 116 - Cercado - Arequipa;Arequipa;(054)749300
AUNA CLINICA MIRAFLORES;Cl. Las Dalias Manzana A, Lote 12, Urb. Miraflores Castilla;Piura;(073) 34-3037
POLICLINICO CARRION (CENTRO MEDICO DANIEL ALCID;Cl. Clorinda Matto de Turner 116, Pablo VI;Arequipa;(054) 20-6171
AUNA - SERVIMEDICOS;Cl. Manuel Maria Izaga N° 621 Chiclayo;Chiclayo;(074) 22-1945,(074) 22-1585
POLICLINICO CARRION (CENTRO MEDICO DANIEL ALCID;Cl. Clorinda Matto de Turner 116, Pablo VI;Arequipa;(054) 20-6171
CENTRO DE APOYO AL DX BERMAN;JR. DIEGO DE ALMAGRO 607 TRUJILLO;Trujillo;044-245524
RESOCENTRO - RESONANCIA MEDICA;Av. San Roman 549 /553 Urb. EL Chipe- Piura;Piura;(073)324-336
REMASUR;Cl. Leon Velarde 108, Yanahuara;Arequipa;(054) 255-792
REMASUR CUSCO;Av. Los Incas N° 1408;Cusco;(084) 23-4711
REMASUR TACNA;Prolongación Daniel Alcides Carrión 360 Cercado;Tacna;052-638500
SEDIMED;CALLE PLAZA JUAN MANUEL POLAR Nº 103, Arequipa;Arequipa;(054) 20-0070,(054) 22-9039
MASTER IMAGEN - TOMOGRAFIAS DEL NORTE;AV. JOSE GALVEZ NRO. 1480;Chimbote;043-32698
TOMONORTE CAJAMARCA;AV. MARIO URTEAGA Nº 445;Cajamarca;076 - 368629
TOMONORTE TRUJILLO;CALLE COLOMBIA N° 109 - URB. EL RECREO;Trujillo;044 - 207111
SERMEDIAL;CALLE FRANCISCO IBAÑEZ NÚMERO 101 PISO 1 URBANIZACIÓN UMACOLLA;Arequipa;54 276338
RESODUNAS;URBANIZACION MANZANA A LOTE 6 URBANIZACIÓN;Ica;056-771552
CENTRO DE DIAGNOSTICO DE ALTA ESPECIALIDAD DEL;JIRÓN MARIANO PANDIA NÚMERO 339 URBANIZACIÓN LA RINCONADA;Juliaca;051 603954
FISIOVIDA;Cl. Juan de Dios Salazar N° 172 Urb. La Perla;Arequipa;(054) 286-555
GRUPO FISIO;CALLE LAS LILAS 108 MIRAFLORES;Arequipa;54310799
SAINT LUCIE MEDICAL CENTER;CALLE SANCHEZ TRUJILLO 103 URB. LA PERLA - AREQUIPA;Arequipa;054-233642
FISIOSALUD-CENTRO DE FISIOTERAPIA TACNA E.I.R.L.;AVENIDA 2 de Mayo NÚMERO 427 PISO 1 DEPARTAMENTO 1;Tacna;52281758
OZONED;CALLE ALIPIO PONCE NÚMERO 318 URBANIZACIÓN MARILLAC;Pisco;056-534939
SPA ODONTOLOGICO INTERNACIONAL;Pza. Juan Manuel Polar N° 117, Urb. Vallecito Arequipa;Arequipa;(054) 28-4295
CENTRO DENTAL SAN JOSE;Av. Abelardo Quiñonez B-5, Umacollo Yanahuara;Arequipa;(054) 25-9669
CENTRO MEDICO ODONTOLOGICO AMERICANO-COA;Cl. Sevilla N° 107, Urb. Los Sauces Cayma;Arequipa;(054) 27-2716
CENTRO DENTAL SAN JOSE;Jr. Simon Bolivar N° 794, 2do. Piso Huaraz;Huaraz;(043) 424497
CENTRO ODONTOLOGICO ESPECIALIZADO (ORTODENT;Calle Jose Santos Chocano 209 Pumacollo;Arequipa;054-257448
CENTRO DENTAL SAN JOSE;Jr. San Martin N° 146, Paita;Paita;(073) 21-2387
CENTRO DENTAL SAN JOSE;Av. El Sol 346 of 303;Cusco;084-224445
CENTRO DENTAL SAN JOSE;CALLE EL PARQUE N° 153 RESIDENCIAL LA ANGOSTURA;Ica;056-258262
CENTRO DENTAL SAN JOSE;JR: LOS SAUCES 415;Cajamarca;076- 343693
CENTRO ODONTOLOGICO HARTLEY MURILLO E.I.R.L.;Mz A Lote 1 Urb. Valencia H-1;Arequipa;054-254519
CENTRO ODONTOLOGICO QUIROZ / CLIDENTIKA;Pasaje Santa Rosa 101 Urb. IV Centenario;Arequipa;
CENTRO MEDICO ODONTOLOGICO AMERICANO S.A.;Cl. Abraham Valderomar A-17, Urb. Santa Monica, Wanchaq;Cusco;(084) 262020
CENTRO MEDICO ODONTOLOGICO AMERICANO-COA;Jr. Jose De San Martin N° 679 Huaraz;Huaraz;(043) 42-1746
CENTRO ODONTOLOGICO SOBRE LA ROCA;AVENIDA EMMEL 116 - A YANAHUARA AVENIDA EMMEL 116 - A YANAHUARA;Arequipa;(054) 270309
FUTURE DENT;Cl. Las Orquideas N° 107, Urb. Chavez Cayma;Arequipa;(054) 25-6354
CENTRO MEDICO ODONTOLOGICO AMERICANO-COA;AV. REPÚBLICA DE URUGUAY N° 564 - huancayo;Huancayo;064-211004
GROUP QHALI KAY CORNEJO & OJEDA;URBANIZACIÓN LEÓN XIII B-23;Arequipa;(054) 25-9669
CENTRO MEDICO ODONTOLOGICO AMERICANO-COA;Jr. Desustua N° 754 Puno;Puno;(051) 366390
CENTRO MEDICO ODONTOLOGICO AMERICANO-COA;Jr. Piura N° 482 - Parque Grau Juliaca;Juliaca;(051) 32-5462
CENTRO MEDICO ODONTOLOGICO AMERICANO-COA;Av. Billinghurts N°358 Cercado, Tacna;Tacna;(052) 413136
CENTRO MEDICO ODONTOLOGICO AMERICANO-COA;Cl. Los Andes N° 121;Tumbes;(072) 522771
CENTRO MEDICO ODONTOLOGICO AMERICANO-COA;Jiron Atahualpa N° 139 - Pucallpa Calleria;Pucallpa;(061) 57-3075
HARMONY DENT SAC;AV. HARTLEY D-38 SEGUNDO PISO URB. LA MELGARIANA JOSE LUIS BUSTAMANT;Arequipa;054-255360
CENTRO ODONTOLOGICO INTEGRAL;Jr. Amadeo Figueroa N° 1116, Soledad Baja, Huaraz;Huaraz;(043) 42-8503
CLINICA DENTAL CASO LAY;Av. Luis Gonzales 839 (2° Y 3° Piso) Chiclayo;Chiclayo;074-239021
CENTRO MEDICO ODONTOLOGICO AMERICANO;Av. Grau N° 1050, Piura;Piura;(073) 30-5820
CLINICA DENTAL ASENCIOS S.A.C;Jiron Adolfo Monrey Nº 227;Pucallpa;(061) 57-4762
CLINICA DENTAL IMAGEN;Calle Real N°716 2do piso;Huancayo;(064) 24-9898
CLINICA DENTAL LIANDENT;Pasaje Santa Monica Nº 110 Huancayo;Huancayo;(064) 22-6670
CLOTIDENT;AV. SAN MARTIN Nº 232 URB. CLARKE;Piura;073-332239
ODONTOLASER REPRESENTACIONES Y SERVICIOS GENE;AV. PANAMERICANA Nº 219 - URB. SANTA ISABEL MZ. B LOTE Nº 07;Piura;073-322975
DENTAL PREMIUM;JIRON ALEJANDRO DEUSTUA Nº 755 HUANCAYO;Huancayo;064-254378
CLINICA ODONTOLOGICA CANO - ALVAREZ.;Jr. Arica N° 116, Urb. Barrio Particular Pariñas;Talara;(073) 38-2660
INVERSIONES BECERRIL S.A.C.;Calle Los Rubies N° 103 Of.301 Urb. Sta. Ines, Trujillo;Trujillo;(044) 25-5562
CENTRO MEDICO ODONTOLOGICO AMERICANO-COA;CALLE CALLE SANTA URSULA 109 - URB. LA MERCED DISTRITO TRUJILLO PROVINC;Trujillo;(044) 23-1716
ODONTOLASER REPRESENTACIONES Y SERVICIOS GENE;Cl. Los Laureles N° 436 - 444, Interior 209 - 210- 211, Urbanizacion California Truji;Trujillo;(044) 28-7038
ORALBET;Jr. Guillermo Urrelo N° 1474, Cajamarca;Cajamarca;(076) 507411
GRUPO MEDICO EMPRESARIAL;AVENIDA GRAU NÚMERO 112 MANZANA A;Talara;(073) 38-6781
PRODENT;AV. MANSICHE 840 SEGUNDO PISO. SANTA INES;Trujillo;044-204154
ODONTOLOGIA INTEGRAL TAPIA CACERES;Urb. Los Vencedores D - 9 Pariñas;Talara;(073) 38-2982
CENTRO MEDICO ODONTOLOGICO AMERICANO-COA;Av. Jose Balta N° 39;Chiclayo;074-223877
CENTRO MEDICO ODONTOLOGICO AMERICANO-COA;Cl. Sevilla N° 107, Urb. Los Sauces Cayma;Arequipa;(054) 27-2716
CENTRO MEDICO ODONTOLOGICO AMERICANO-COA;AVENIDA CONDE DE NIEVA NÚMERO 317 URBANIZACIÓN LUREN;Ica;056-216345
CENTRO MEDICO ODONTOLOGICO AMERICANO-COA;CALLE ABRAHAM VALDELOMAR A-17 URB. SANTA MONICA DISTRITO WANCHAQ;Cusco;(51) 84-262020
ODAM ODONTOLOGIA;AVENIDA EJERCITO NÚMERO 210 DISTRITO YANAHUARA;Arequipa;054-274884
ODAM ODONTOLOGIA;JR. SAN MARTÍN Nº 422 2DO PISO;Juliaca;051-323048
CERDENT;AVENIDA AV. VICE M-14 URB. SANTA ANA;Piura;(073) 30-8691
CERDENT;JIRON HUALLAGA N° 200 - 204;Iquitos;965679186
CERDENT;CALLE SAN JOSE 214A, INT C DISTRITO AREQUIPA;Arequipa;(054)204016
CERDENT;Urb. San Isidro Av Cutervo 130;Ica;(056)216889
CLINICA OFTALMOLOGICA DR.PONGO S.R.L (EX CLINICA;AVENIDA GRAU 1026;Piura;073-325708
CLINICA OFTALMOLOGICA REGIONAL;Cl. Los Alelies 113, 2do piso Huancayo;Huancayo;(064) 201255
OFTALMOLOGOS ASOCIADOS VER SAC;LOS BRILLANTES MZ X LOTE 17 URB MIRAFLORES;Piura;073-348851
OFTALMOSALUD;Calle Manuel Ugarteche 522 Urb Selva Alegre;Arequipa;054-287373
OFTALMOSUR - INST DE CIENCIAS MEDICAS DEL SUR;AV. EMMEL N° 105 YANAHUARA;Arequipa;054-272707
OFTALMOVISION-CLINICA DE OJOS;Av. America Norte 2120, Urb. Primavera Trujillo;Trujillo;(044) 224444
BUENA VISION NORTE E.I.R.L.;URBANIZACIÓN MIRAFLORES NÚMERO 2 MANZANA C LOTE 8;Piura;073-619512
